Code,Name,Date,Open,High,Low,Close,Volumn,Amount,Change,Turnover,PE,PB,Average,AmountPercentage,HQLTSZ,AHQLTSZ,Payout,IR
801813,小盘指数,2003-4-4,1122.39,1133.01,1112.98,1124.17,0.44,6.18,0.04,0.66,75.67,4.53,13.98,5.07,888.64,4.44,0.4,5.76
801813,小盘指数,2003-4-3,1126.39,1135.73,1114.87,1123.71,0.49,7.2,-0.24,0.75,75.82,4.54,14.01,6.27,890.37,4.45,0.39,5.76
801813,小盘指数,2003-4-2,1127.83,1138.64,1117.03,1126.43,0.52,7.39,-0.13,0.78,76,4.55,14.04,5.96,892.52,4.46,0.39,5.76
801813,小盘指数,2003-4-1,1121,1135.87,1112.17,1127.92,0.64,8.91,0.69,0.97,76.1,4.56,14.06,5.08,893.7,4.47,0.39,5.76
801813,小盘指数,2003-3-31,1114.39,1128.05,1104.66,1120.15,0.52,7.3,0.39,0.79,75.49,4.52,13.96,5.18,886.49,4.43,0.39,5.76
801813,小盘指数,2003-3-28,1123.85,1133.8,1106.52,1115.73,0.68,9.71,-0.89,1.03,75.28,4.56,13.92,5.89,884.07,4.42,0.39,5.76
801813,小盘指数,2003-3-27,1100.38,1133.98,1088.93,1125.64,0.73,10.37,2.01,1.12,75.95,4.6,14.04,6.54,891.91,4.46,0.39,5.76
801813,小盘指数,2003-3-26,1108.49,1118.61,1093.93,1103.04,0.47,6.66,-0.63,0.71,74.42,4.51,13.76,8.74,874.03,4.37,0.39,5.76
801813,小盘指数,2003-3-25,1119,1126.61,1102.4,1109.96,0.48,7.09,-1.02,0.73,74.9,4.54,13.85,9.44,879.58,4.4,0.38,5.76
801813,小盘指数,2003-3-24,1120.53,1131.13,1109.35,1121.29,0.42,6.58,0.12,0.64,75.66,4.58,13.99,9.69,888.55,4.44,0.38,5.76
801813,小盘指数,2003-3-21,1107.28,1126.02,1101.07,1119.89,0.45,7.08,1.07,0.69,75.57,4.58,13.97,8.98,887.44,4.44,0.38,5.76
801813,小盘指数,2003-3-20,1113.04,1123.23,1099.24,1107.94,0.47,6.93,-0.54,0.71,74.76,4.53,13.82,7.83,877.98,4.39,0.38,5.76
801813,小盘指数,2003-3-19,1111.64,1124.73,1100.94,1113.88,0.46,6.29,-0.06,0.7,75.16,4.55,13.9,7.19,882.68,4.41,0.38,5.76
801813,小盘指数,2003-3-18,1121.57,1137.01,1107.83,1114.56,0.5,7.32,-0.69,0.77,75.21,4.56,13.92,8.2,883.21,4.42,0.38,5.76
801813,小盘指数,2003-3-17,1125.16,1133.15,1106.5,1122.27,0.51,7.15,-0.39,0.78,75.73,4.59,14,8.05,889.32,4.45,0.38,5.76
801813,小盘指数,2003-3-14,1126.15,1138.6,1117.08,1126.64,0.45,6.45,-0.03,0.69,76.02,4.61,14.06,8.64,892.78,4.46,0.38,5.76
801813,小盘指数,2003-3-13,1131.26,1142.77,1119.68,1126.95,0.56,8.29,-0.53,0.85,76.04,4.61,14.07,11.04,893.03,4.47,0.38,5.76
801813,小盘指数,2003-3-12,1126.2,1139.9,1112.27,1132.87,0.55,8.1,0.42,0.84,76.44,4.63,14.14,10.65,897.71,4.49,0.38,5.76
801813,小盘指数,2003-3-11,1127.18,1139.27,1117.36,1128.09,0.54,7.88,-0.13,0.83,76.12,4.61,14.09,10.81,893.93,4.47,0.38,5.76
801813,小盘指数,2003-3-10,1145.06,1154.79,1121.98,1129.51,0.79,11.34,-1.59,1.21,76.22,4.62,14.12,11.48,895.06,4.48,0.38,5.76
801813,小盘指数,2003-3-7,1147.65,1161.42,1136.72,1147.51,0.65,9.86,-0.2,0.99,77.43,4.69,14.32,10.5,909.3,4.55,0.37,5.76
801813,小盘指数,2003-3-6,1163.32,1171.99,1141.94,1149.83,0.71,10.74,-1.42,1.08,77.58,4.7,14.33,9.6,911.14,4.56,0.37,5.76
801813,小盘指数,2003-3-5,1171.53,1178.97,1153.48,1166.19,0.74,11.29,-0.55,1.13,78.69,4.77,14.52,11.18,924.09,4.62,0.37,5.76
801813,小盘指数,2003-3-4,1172.51,1186.09,1159.16,1172.58,0.93,14.54,0.11,1.42,79.12,4.79,14.61,13.15,929.15,4.65,0.36,5.76
801813,小盘指数,2003-3-3,1160.14,1179.8,1151.23,1171.32,1.06,17.3,0.95,1.61,79.03,4.79,14.59,14.47,928.15,4.64,0.36,5.76
